# logrho energy radius_cm pressure temperature
-10.4382 0.0 22851914501719.227 5.4663822813341945 2385.063795465105
-10.4061 -11.84 22820365213606.695 5.872188659713032 2385.6130399309136
-10.376 -11.827 22788859482351.523 6.282029912455565 2386.162410879492
-10.345 -11.813 22757397247819.242 6.734416926887178 2386.162410879492
-10.3192 -11.801 22731211902379.0 7.133456216702232 2386.7119083399743
-10.2912 -11.786 22705056686584.465 7.594514226678693 2387.2615323414875
-10.2676 -11.773 22684154183995.434 8.009400305332871 2387.8112829131783
-10.2436 -11.76 22658053114226.367 8.448896694845208 2388.361160084188
-10.2134 -11.741 22626771470593.574 9.042739083117834 2389.4612943407983
-10.1968 -11.731 22611146847761.176 9.386420366721353 2390.011551484727
-10.1654 -11.709 22579929962786.348 10.071635501321351 2391.1124459496955
-10.1416 -11.692 22559142653112.457 10.624292038711266 2392.2138475120555
-10.1138 -11.671 22527997564980.727 11.31097389333706 2393.3157564053877
-10.0912 -11.652 22507258064792.39 11.901453387038547 2394.41817286338
-10.068 -11.633 22486537657595.64 12.540071132481293 2396.0727497455664
-10.0354 -11.603 22455492807714.05 13.498950350559802 2398.2806309144576
-10.0113 -11.579 22429654842598.895 14.259358896765685 2399.937876809879
-9.9841 -11.551 22403846607423.18 15.167010939163394 2402.1493195322587
-9.9577 -11.522 22378068067978.766 16.102748130094234 2404.362800006932
-9.9328 -11.493 22352319190096.81 17.04904275992887 2407.1325190501684
-9.9049 -11.459 22326599939647.84 18.171885847844102 2409.9054286865953
-9.884 -11.432 22306045848130.49 19.067774183164207 2412.6815325916327
-9.8501 -11.386 22275250184727.27 20.615790869526375 2417.1299521044175
-9.8167 -11.338 22239375642646.3 22.279220921849095 2422.70201210924
-9.7867 -11.291 22208672023938.973 23.894612943407996 2427.727847680999
-9.7537 -11.237 22178010794560.26 25.816656717016254 2433.8846965041807
-9.7242 -11.184 22147391895987.55 27.675788306259456 2440.057159428208
-9.6932 -11.126 22116815269779.05 29.792023371471675 2446.808609695616
-9.6618 -11.063 22086280857573.652 32.11441387141269 2454.708915685031
-9.6281 -10.992 22050710652728.957 34.825711663865434 2463.2018382351575
-9.6019 -10.933 22025338442130.516 37.11077294929258 2471.1550750182187
-9.5733 -10.865 21994930322572.96 39.7923877634225 2479.704898798699
-9.5405 -10.784 21964564184378.73 43.12210969401274 2490.5771539520997
-9.5114 -10.707 21934239969588.457 46.33402194242089 2500.921153780118
-9.4875 -10.643 21909001773659.527 49.18129952683076 2510.1518809953313
-9.4634 -10.579 21883792617557.605 52.21556720489596 2519.9968621092394
-9.438 -10.517 21853579915762.562 55.6672798150948 2530.4630494613966
-9.4166 -10.471 21833461291216.75 58.76246425275582 2539.8028137728156
